n_beams,actual_total_prompt_len,variant,chunk_size_page,fa_time_ms,variant_time_ms,attn_base_us,attn_ratio,attn_latency_us
1,4280,FD_heuristic,13.0,267.2256949590519,173.97534602787346,268.833,0.6859559592763645,26.079105989205885
1,4280,our_profiling,8.0,267.2256949590519,172.7468939498067,268.833,0.6859559592763645,22.881139129302227
2,2232,FD_heuristic,13.0,178.6110340617597,173.87063894420862,140.993,0.5218928252830761,124.7732114318207
2,2232,our_profiling,64.0,178.6110340617597,166.12138506025076,140.993,0.5218928252830761,98.2582783002822
4,1208,FD_heuristic,13.0,152.2741080261767,165.24490690790117,77.792,0.3424365678868875,145.4312156455473
4,1208,our_profiling,,152.2741080261767,152.2741080261767,77.792,0.3424365678868875,77.792
8,696,FD_heuristic,9.0,135.99904999136925,166.22538096271455,46.336,0.2369691514606006,274.110757547856
8,696,our_profiling,,135.99904999136925,135.99904999136925,46.336,0.2369691514606006,46.336
16,440,FD_heuristic,14.0,122.60602205060422,170.14746798668057,30.752,0.18712539324201802,484.43408825493646
16,440,our_profiling,,122.60602205060422,122.60602205060422,30.752,0.18712539324201802,30.752
24,354,FD_heuristic,,125.83371601067483,125.83371601067483,25.44,0.1594834341597969,25.44
24,354,our_profiling,,125.83371601067483,125.83371601067483,25.44,0.1594834341597969,25.44
32,312,FD_heuristic,10.0,129.64629603084177,181.01287598256025,23.456,0.14562612528714225,653.3294890268173
32,312,our_profiling,,129.64629603084177,129.64629603084177,23.456,0.14562612528714225,23.456
40,286,FD_heuristic,9.0,139.45523602887988,204.7381029697135,21.28,0.13240335737084763,901.7451968311728
40,286,our_profiling,,139.45523602887988,139.45523602887988,21.28,0.13240335737084763,21.28
48,269,FD_heuristic,,144.56312591210008,144.56312591210008,20.608,0.12549019607843137,20.608
48,269,our_profiling,,144.56312591210008,144.56312591210008,20.608,0.12549019607843137,20.608
56,257,FD_heuristic,,134.8741319961846,134.8741319961846,19.488,0.11840186643336248,19.488
56,257,our_profiling,,134.8741319961846,134.8741319961846,19.488,0.11840186643336248,19.488
64,248,FD_heuristic,,150.12736700009555,150.12736700009555,20.192,0.12232386260374387,20.192
64,248,our_profiling,,150.12736700009555,150.12736700009555,20.192,0.12232386260374387,20.192
